,Country(Entity),Year,Code,Rate: Schizophrenia,Rate: Depressive disorders,Rate: Anxiety disorders,Rate: Bipolar disorders,Rate: Eating disorders,DALYs: Schizophrenia,DALYs: Depressive disorders,DALYs: Anxiety disorders,DALYs: Bipolar disorder,DALYs: Eating disorders,Country,cluster
168,South Africa,2019,ZAF,0.22481367,4.298678,3.786144,0.5569932,0.16455814,141.14746,733.9973,357.19547,118.4595,34.76596,South Africa,purple
169,South Korea,2019,KOR,0.30063236,2.091181,3.2213244,0.5002964,0.35135385,194.87764,357.63556,310.93314,109.01052,75.31843,South Korea,pink
170,South Sudan,2019,SSD,0.22934605,4.749942,4.9776773,0.6109647,0.15204576,144.23735,812.59125,468.98935,129.92403,32.033985,South Sudan,purple
171,Spain,2019,ESP,0.2656171,4.704455,4.8611727,0.92482716,0.59025174,170.51418,854.19666,465.5033,199.39117,125.413765,Spain,purple
172,Sri Lanka,2019,LKA,0.3008161,2.8662298,4.0355477,0.33558726,0.120000996,193.52002,440.8701,385.41315,72.30974,25.841389,Sri Lanka,pink
173,Sudan,2019,SDN,0.23268405,4.4230967,4.745971,0.73181224,0.14551556,149.08105,797.85693,455.18668,157.95877,30.938637,Sudan,purple
174,Suriname,2019,SUR,0.2756343,4.6881685,4.141955,0.8973406,0.22762749,175.65927,869.92535,393.7075,193.14304,48.232838,Suriname,purple
175,Sweden,2019,SWE,0.27025598,4.116486,4.795127,0.97393054,0.51417124,172.25583,728.2468,459.72815,209.96623,109.52554,Sweden,dark purple
176,Switzerland,2019,CHE,0.2799828,3.705447,6.79061,0.9417426,0.4910716,178.6776,635.3109,650.5403,202.4897,107.11581,Switzerland,dark purple
177,Syria,2019,SYR,0.24236715,4.132855,5.60757,0.77377516,0.15828523,154.36089,731.2494,535.5609,166.255,33.455532,Syria,dark purple
178,Taiwan,2019,TWN,0.31342354,2.564065,3.6654854,0.19377136,0.173583,204.4044,378.7589,354.692,42.222954,37.444847,Taiwan,pink
179,Tajikistan,2019,TJK,0.2636819,2.8172803,2.4035394,0.51602787,0.08860962,170.56447,459.0753,230.98955,112.11625,19.201311,Tajikistan,pink
180,Tanzania,2019,TZA,0.21327442,4.651242,3.8125863,0.59105045,0.10528517,136.55493,802.2688,363.27722,127.39958,22.46827,Tanzania,purple
181,Thailand,2019,THA,0.30105522,2.847038,3.399738,0.32977024,0.13236374,194.85661,438.0736,326.5251,71.50412,28.565636,Thailand,pink
182,Togo,2019,TGO,0.2087059,4.5008154,3.592497,0.5395201,0.08961096,133.74069,783.32574,344.09924,116.47724,19.234024,Togo,purple
183,Tokelau,2019,TKL,0.28980696,3.1222134,4.0038543,0.27477935,0.10262833,186.20375,494.85623,382.42862,59.148365,22.041817,Tokelau,pink
184,Tonga,2019,TON,0.29104534,2.6947968,4.062976,0.28197634,0.09377603,187.3583,404.09464,388.79108,60.798748,20.138292,Tonga,pink
185,Trinidad and Tobago,2019,TTO,0.28689462,3.82637,3.8713686,0.9088345,0.28171644,183.25206,691.4384,369.8041,196.5508,59.94061,Trinidad and Tobago,dark purple
186,Tunisia,2019,TUN,0.2524584,5.049405,5.164141,0.787781,0.20487007,161.90733,930.1461,497.23267,170.53842,43.620987,Tunisia,purple
187,Turkey,2019,TUR,0.24893442,3.9422681,4.513604,0.795696,0.2917118,159.78465,696.29266,433.74423,172.22185,61.95884,Turkey,dark purple
188,Turkmenistan,2019,TKM,0.2810101,3.0497415,2.3415134,0.5058993,0.15248261,181.7876,508.89328,225.03067,110.058975,32.82547,Turkmenistan,pink
189,Tuvalu,2019,TUV,0.27550524,3.1250875,4.007321,0.26749822,0.08227526,176.78947,494.9349,382.25226,57.401867,17.75988,Tuvalu,pink
190,Uganda,2019,UGA,0.20794602,6.5845194,4.080157,0.5818194,0.09564634,132.37558,1212.0945,388.74808,125.140594,20.482327,Uganda,purple
191,Ukraine,2019,UKR,0.27143335,3.8973033,3.133128,0.5213342,0.121123455,173.72682,683.4211,299.75256,112.4573,26.073982,Ukraine,dark purple
192,United Arab Emirates,2019,ARE,0.27531648,3.5784907,4.243272,0.752012,0.30040544,176.54521,628.6291,408.53745,163.0362,64.13655,United Arab Emirates,dark purple
193,United Kingdom,2019,GBR,0.24625693,4.0975676,4.4602027,1.0944765,0.4250394,155.44608,721.29236,424.3838,233.84099,90.533035,United Kingdom,dark purple
194,United States,2019,USA,0.43364868,4.375998,5.6977477,0.6012978,0.42435044,270.65967,774.97437,533.5562,127.41404,89.455574,United States,dark purple
195,United States Virgin Islands,2019,VIR,0.29547048,3.3567483,4.365093,0.91947335,0.34684423,189.51546,593.11206,418.07587,199.2274,73.77198,United States Virgin Islands,dark purple
196,Uruguay,2019,URY,0.3134878,2.840908,5.1539445,0.9843416,0.3535729,201.13924,508.78702,494.1361,213.15901,75.259995,Uruguay,dark purple
197,Uzbekistan,2019,UZB,0.2701455,3.164448,2.0256548,0.5113078,0.11560703,174.02235,530.95215,194.11256,110.99758,24.844477,Uzbekistan,pink
198,Vanuatu,2019,VUT,0.26988906,2.9744234,4.02928,0.26652375,0.077522516,172.5528,462.557,383.61334,57.128426,16.642832,Vanuatu,pink
199,Venezuela,2019,VEN,0.2758915,3.2147944,3.9995134,0.83046305,0.21330635,177.13849,568.5661,383.50534,180.13118,45.479874,Venezuela,dark purple
200,Vietnam,2019,VNM,0.32355136,2.473061,2.2873394,0.33610305,0.09474524,210.68578,360.2322,220.24388,73.04614,20.586077,Vietnam,pink
201,World,2019,OWID_WRL,0.28740895,3.4400527,3.779522,0.4898171,0.17395177,184.14943,577.74695,360.12097,105.43025,37.189297,World,pink
202,Yemen,2019,YEM,0.22567965,4.8953676,4.7837157,0.72597986,0.12351241,143.3264,890.9882,455.44073,155.4427,26.062387,Yemen,purple
203,Zambia,2019,ZMB,0.21286875,4.2194896,3.9692068,0.5744539,0.11466904,134.65456,708.9351,375.89227,122.78834,24.392563,Zambia,dark purple
204,Zimbabwe,2019,ZWE,0.20248154,3.3954756,3.1370168,0.5385804,0.09829536,128.21603,544.5316,298.20325,115.38145,21.011127,Zimbabwe,pink
